Block,Mito,Geno,Rep,Counts,Sex
B1,Si1,Del,Rep1,60,Female
B1,Si1,Del,Rep2,60,Female
B1,Si1,Del,Rep3,33,Female
B1,Si1,Dup,Rep1,34,Female
B1,Si1,Dup,Rep2,28,Female
B1,Si1,Dup,Rep3,39,Female
B1,Sm21,Del,Rep1,36,Female
B1,Sm21,Del,Rep2,40,Female
B1,Sm21,Del,Rep3,43,Female
B1,Sm21,Dup,Rep1,22,Female
B1,Sm21,Dup,Rep2,25,Female
B1,Sm21,Dup,Rep3,63,Female
B1,ZW,Del,Rep1,31,Female
B1,ZW,Del,Rep2,25,Female
B1,ZW,Del,Rep3,52,Female
B1,ZW,Dup,Rep1,81,Female
B1,ZW,Dup,Rep2,72,Female
B1,ZW,Dup,Rep3,55,Female
B1,OR,Del,Rep1,34,Female
B1,OR,Del,Rep2,42,Female
B1,OR,Del,Rep3,64,Female
B1,OR,Dup,Rep1,70,Female
B1,OR,Dup,Rep2,64,Female
B1,OR,Dup,Rep3,56,Female
B2,Si1,Del,Rep1,62,Female
B2,Si1,Del,Rep2,74,Female
B2,Si1,Del,Rep3,64,Female
B2,Si1,Dup,Rep1,45,Female
B2,Si1,Dup,Rep2,46,Female
B2,Si1,Dup,Rep3,62,Female
B2,Sm21,Del,Rep1,61,Female
B2,Sm21,Del,Rep2,62,Female
B2,Sm21,Del,Rep3,63,Female
B2,Sm21,Dup,Rep1,62,Female
B2,Sm21,Dup,Rep2,50,Female
B2,Sm21,Dup,Rep3,64,Female
B2,ZW,Del,Rep1,50,Female
B2,ZW,Del,Rep2,79,Female
B2,ZW,Del,Rep3,39,Female
B2,ZW,Dup,Rep1,75,Female
B2,ZW,Dup,Rep2,52,Female
B2,ZW,Dup,Rep3,78,Female
B2,OR,Del,Rep1,70,Female
B2,OR,Del,Rep2,96,Female
B2,OR,Del,Rep3,77,Female
B2,OR,Dup,Rep1,76,Female
B2,OR,Dup,Rep2,78,Female
B2,OR,Dup,Rep3,65,Female
B3,Si1,Del,Rep1,7,Female
B3,Si1,Del,Rep2,35,Female
B3,Si1,Del,Rep3,11,Female
B3,Si1,Dup,Rep1,45,Female
B3,Si1,Dup,Rep2,15,Female
B3,Si1,Dup,Rep3,34,Female
B3,Sm21,Del,Rep1,19,Female
B3,Sm21,Del,Rep2,36,Female
B3,Sm21,Del,Rep3,28,Female
B3,Sm21,Dup,Rep1,30,Female
B3,Sm21,Dup,Rep2,3,Female
B3,Sm21,Dup,Rep3,21,Female
B3,ZW,Del,Rep1,24,Female
B3,ZW,Del,Rep2,41,Female
B3,ZW,Del,Rep3,70,Female
B3,ZW,Dup,Rep1,63,Female
B3,ZW,Dup,Rep2,84,Female
B3,ZW,Dup,Rep3,92,Female
B3,OR,Del,Rep1,39,Female
B3,OR,Del,Rep2,50,Female
B3,OR,Del,Rep3,57,Female
B3,OR,Dup,Rep1,26,Female
B3,OR,Dup,Rep2,29,Female
B3,OR,Dup,Rep3,47,Female
B1,Si1,Del,Rep1,61,Male
B1,Si1,Del,Rep2,53,Male
B1,Si1,Del,Rep3,51,Male
B1,Si1,Dup,Rep1,30,Male
B1,Si1,Dup,Rep2,28,Male
B1,Si1,Dup,Rep3,45,Male
B1,Sm21,Del,Rep1,19,Male
B1,Sm21,Del,Rep2,49,Male
B1,Sm21,Del,Rep3,38,Male
B1,Sm21,Dup,Rep1,21,Male
B1,Sm21,Dup,Rep2,28,Male
B1,Sm21,Dup,Rep3,44,Male
B1,ZW,Del,Rep1,23,Male
B1,ZW,Del,Rep2,17,Male
B1,ZW,Del,Rep3,63,Male
B1,ZW,Dup,Rep1,86,Male
B1,ZW,Dup,Rep2,67,Male
B1,ZW,Dup,Rep3,66,Male
B1,OR,Del,Rep1,50,Male
B1,OR,Del,Rep2,64,Male
B1,OR,Del,Rep3,65,Male
B1,OR,Dup,Rep1,52,Male
B1,OR,Dup,Rep2,58,Male
B1,OR,Dup,Rep3,58,Male
B2,Si1,Del,Rep1,54,Male
B2,Si1,Del,Rep2,50,Male
B2,Si1,Del,Rep3,50,Male
B2,Si1,Dup,Rep1,40,Male
B2,Si1,Dup,Rep2,62,Male
B2,Si1,Dup,Rep3,52,Male
B2,Sm21,Del,Rep1,66,Male
B2,Sm21,Del,Rep2,61,Male
B2,Sm21,Del,Rep3,66,Male
B2,Sm21,Dup,Rep1,54,Male
B2,Sm21,Dup,Rep2,42,Male
B2,Sm21,Dup,Rep3,66,Male
B2,ZW,Del,Rep1,73,Male
B2,ZW,Del,Rep2,84,Male
B2,ZW,Del,Rep3,55,Male
B2,ZW,Dup,Rep1,59,Male
B2,ZW,Dup,Rep2,82,Male
B2,ZW,Dup,Rep3,69,Male
B2,OR,Del,Rep1,62,Male
B2,OR,Del,Rep2,74,Male
B2,OR,Del,Rep3,75,Male
B2,OR,Dup,Rep1,71,Male
B2,OR,Dup,Rep2,72,Male
B2,OR,Dup,Rep3,81,Male
B3,Si1,Del,Rep1,17,Male
B3,Si1,Del,Rep2,33,Male
B3,Si1,Del,Rep3,12,Male
B3,Si1,Dup,Rep1,46,Male
B3,Si1,Dup,Rep2,25,Male
B3,Si1,Dup,Rep3,42,Male
B3,Sm21,Del,Rep1,27,Male
B3,Sm21,Del,Rep2,30,Male
B3,Sm21,Del,Rep3,29,Male
B3,Sm21,Dup,Rep1,37,Male
B3,Sm21,Dup,Rep2,3,Male
B3,Sm21,Dup,Rep3,25,Male
B3,ZW,Del,Rep1,30,Male
B3,ZW,Del,Rep2,55,Male
B3,ZW,Del,Rep3,66,Male
B3,ZW,Dup,Rep1,59,Male
B3,ZW,Dup,Rep2,82,Male
B3,ZW,Dup,Rep3,93,Male
B3,OR,Del,Rep1,44,Male
B3,OR,Del,Rep2,63,Male
B3,OR,Del,Rep3,57,Male
B3,OR,Dup,Rep1,34,Male
B3,OR,Dup,Rep2,37,Male
B3,OR,Dup,Rep3,49,Male
